,method,parameter,total_features,noise_level,noisy_score,score,features_names,feature_weights,feature_complexities
0,omp,1,3,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403856],[4]
1,omp,2,3,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999534, 1.9999999999999927]","[1, 4]"
2,omp,3,3,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999534, 1.9999999999999927]","[1, 4]"
3,omp,1,3,0.25,0.9720180571318128,0.9776440501956891,"['Num[Exists(Star(on),Nominal(a))]']",[1.9678511075108212],[4]
4,omp,2,3,0.25,0.9942786118909321,0.9999999465507299,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0008849898883732, 2.0002968059962782]","[1, 4]"
5,omp,3,3,0.25,0.9942786125951744,0.9999999458422184,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0009054431791358, -0.0001826662100648859, 2.000301398535453]","[1, 4, 4]"
6,omp,1,3,0.5,0.9556926468652909,0.9776440386560283,"['Num[Exists(Star(on),Nominal(a))]']",[1.9676993662948727],[4]
7,omp,2,3,0.5,0.9774899407253413,0.9999999182590441,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9987620419447487, 2.000076245156122]","[1, 4]"
8,omp,3,3,0.5,0.9774899553739765,0.9999999032721696,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9986679732124042, 0.0008401180534911236, 2.0000551231595]","[1, 4, 4]"
9,omp,1,3,1.0,0.8951775813845708,0.9776440364271528,"['Num[Exists(Star(on),Nominal(a))]']",[1.9671812429343858],[4]
10,omp,2,3,1.0,0.9157655931623333,0.9999997908978563,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0026701723290976, 1.9996848116964465]","[1, 4]"
11,omp,3,3,1.0,0.9157656987054947,0.9999996756788011,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.002930998947761, -0.002329415372235828, 1.9997433771604551]","[1, 4, 4]"
12,omp,1,4,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403856],[4]
13,omp,2,4,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
14,omp,3,4,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
15,omp,4,4,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
16,omp,1,4,0.25,0.9719986779478093,0.9776440791192418,"['Num[Exists(Star(on),Nominal(a))]']",[1.967428232430718],[4]
17,omp,2,4,0.25,0.9942788518930086,0.9999999649023986,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.001120757292927, 1.9998815737904294]","[1, 4]"
18,omp,3,4,0.25,0.9942788596015117,0.9999999571503437,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0011884120247303, -0.0006042173650625218, 1.9998967648425574]","[1, 4, 4]"
19,omp,4,4,0.25,0.9942788607398568,0.9999999560055672,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0012434189557216, 0.0005504654425944965, -0.0010774238570805958, 1.9998805899914394]","[1, 3, 4, 4]"
20,omp,1,4,0.5,0.9555950787373662,0.9776440555176544,"['Num[Exists(Star(on),Nominal(a))]']",[1.9673226240178672],[4]
21,omp,2,4,0.5,0.9774616619123201,0.9999999684171765,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0002077442399668, 1.9997463682245302]","[1, 4]"
22,omp,3,4,0.5,0.9774617476165621,0.9999998807586341,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0004352471094968, -0.0020318044386208657, 1.9997974512435317]","[1, 4, 4]"
23,omp,4,4,0.5,0.9774617669446007,0.9999998609898613,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000663831684129, 0.0022874918992506032, -0.003998242171863889, 1.9997302356873117]","[1, 3, 4, 4]"
24,omp,1,4,1.0,0.8952106113808351,0.9776434765520089,"['Num[Exists(Star(on),Nominal(a))]']",[1.967734778932242],[4]
25,omp,2,4,1.0,0.9156446671537499,0.9999993752677167,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9991768278714267, 2.0001251039129246]","[1, 4]"
26,omp,3,4,1.0,0.9156446853431269,0.9999993554003465,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9990685200178483, 0.0009672861625557377, 2.00010078469377]","[1, 4, 4]"
27,omp,4,4,1.0,0.9156448413147676,0.9999991850401229,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9983974912105112, -0.006715120490599067, 0.00673992575979908, 2.0002981014838355]","[1, 3, 4, 4]"
28,omp,1,5,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403856],[4]
29,omp,2,5,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
30,omp,3,5,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
31,omp,4,5,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
32,omp,5,5,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999621, 1.9999999999999931]","[1, 4]"
33,omp,1,5,0.25,0.9719949410134284,0.9776440152128044,"['Num[Exists(Star(on),Nominal(a))]']",[1.9673031264951004],[4]
34,omp,2,5,0.25,0.9942670224779024,0.9999999118745055,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000877205740304, 1.9997485726417537]","[1, 4]"
35,omp,3,5,0.25,0.9942670312478791,0.9999999030560678,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000805047558287, 0.0006444372099896711, 1.999732370394324]","[1, 4, 4]"
36,omp,4,5,0.25,0.9942670313026741,0.99999990300097,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000817115251027, 0.00012076383294553005, 0.0005406228279615007, 1.9997288218754394]","[1, 3, 4, 4]"
37,omp,5,5,0.25,0.9942670313026741,0.99999990300097,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000817115251027, 0.00012076383294553005, 0.0005406228279615007, 1.9997288218754394]","[1, 3, 4, 4]"
38,omp,1,5,0.5,0.9555735916860477,0.9776440770758918,"['Num[Exists(Star(on),Nominal(a))]']",[1.967527525101716],[4]
39,omp,2,5,0.5,0.9774659644963661,0.9999999723097156,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0009128856081242, 1.9999741278829926]","[1, 4]"
40,omp,3,5,0.5,0.9774659758043389,0.9999999607412196,"['Bool[holding]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000830238395926, 0.0007381136463515766, 1.9999555704506409]","[1, 4, 4]"
41,omp,4,5,0.5,0.9774659782083698,0.9999999582818024,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0007496127588114, -0.0008068369970658524, 0.0014317094208881164, 1.9999792785116637]","[1, 3, 4, 4]"
42,omp,5,5,0.5,0.9774659782083698,0.9999999582818024,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0007496127588114, -0.0008068369970658524, 0.0014317094208881164, 1.9999792785116637]","[1, 3, 4, 4]"
43,omp,1,5,1.0,0.8951679991728123,0.9776440224112629,"['Num[Exists(Star(on),Nominal(a))]']",[1.9672799146370108],[4]
44,omp,2,5,1.0,0.9155831941666499,0.9999998865431456,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.998508498158485, 1.9996485743668664]","[1, 4]"
45,omp,3,5,1.0,0.9155836980489286,0.9999993364053148,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9985280199784615, 0.005315640118812089, 1.9993774928520136]","[1, 3, 4]"
46,omp,4,5,1.0,0.9155838421742726,0.9999991790495046,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9992412580953111, 0.011109483720926901, -0.0061798234473261085, 1.9992373956819642]","[1, 3, 4, 4]"
47,omp,5,5,1.0,0.9155838421742726,0.9999991790495046,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9992412580953111, 0.011109483720926901, -0.0061798234473261085, 1.9992373956819642]","[1, 3, 4, 4]"
48,omp,1,6,0.0,0.9776440861356488,0.9776440861356488,"['Num[Exists(Star(on),Nominal(a))]']",[1.9675829902403827],[4]
49,omp,2,6,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999613, 1.99999999999999]","[1, 4]"
50,omp,3,6,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999613, 1.99999999999999]","[1, 4]"
51,omp,4,6,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999613, 1.99999999999999]","[1, 4]"
52,omp,5,6,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999613, 1.99999999999999]","[1, 4]"
53,omp,6,6,0.0,1.0,1.0,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999999999999613, 1.99999999999999]","[1, 4]"
54,omp,1,6,0.25,0.9720486480184575,0.9776440676078798,"['Num[Exists(Star(on),Nominal(a))]']",[1.967486863162794],[4]
55,omp,2,6,0.25,0.9942738248962512,0.999999981194251,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9998884908457556, 1.999900258129061]","[1, 4]"
56,omp,3,6,0.25,0.9942738256235893,0.9999999804627976,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9998892026783953, 0.00019382650503630013, 1.9998903735655038]","[1, 3, 4]"
57,omp,4,6,0.25,0.9942738259291326,0.9999999801555255,"['Bool[holding]', 'Bool[And(ontable,Nominal(a))]', 'Bool[And(Forall(on,<empty>),Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9999207203931338, 0.00044985419842135597, -0.0002730839924930408, 1.9998841827260951]","[1, 3, 4, 4]"
